path,methods,source,authMarkers,rpc,tables,idempotencyMarker
/api/v1/pets/[petId]/avatar/assets/[assetId]/render,GET,app/api/v1/pets/[petId]/avatar/assets/[assetId]/render/route.ts,,,avatar_assets,False
/api/v1/pets/[petId]/avatar/assets/[assetId],DELETE,app/api/v1/pets/[petId]/avatar/assets/[assetId]/route.ts,,,avatar_assets,False
/api/v1/pets/[petId]/avatar/assets,"GET,POST",app/api/v1/pets/[petId]/avatar/assets/route.ts,,"claim_avatar_upload_for_owner,finalize_avatar_upload_for_owner",avatar_assets,False
/api/v1/pets/[petId]/avatar/identity,POST,app/api/v1/pets/[petId]/avatar/identity/route.ts,,activate_pet_avatar_for_owner,pet_avatar_selections,False
/api/v1/pets/[petId]/avatar/jobs,POST,app/api/v1/pets/[petId]/avatar/jobs/route.ts,,claim_avatar_job_for_owner,"avatar_assets,avatar_jobs",True
/api/v1/pets,"DELETE,GET,PATCH,POST",app/api/v1/pets/route.ts,"getAppSessionFromRequest,getRequestAuth",,"pets,profiles",True
/api/v1/session/logout,POST,app/api/v1/session/logout/route.ts,,,,False
/api/v1/session/telegram,POST,app/api/v1/session/telegram/route.ts,verifyTelegramInitData,,,False
/api/wishlist/[id]/restore,POST,app/api/wishlist/[id]/restore/route.ts,"getAppSessionFromRequest,getRequestAuth",,wishlist_items,False
/api/wishlist/[id],"DELETE,PATCH",app/api/wishlist/[id]/route.ts,"getAppSessionFromRequest,getRequestAuth",,wishlist_items,False
/api/wishlist,"GET,POST",app/api/wishlist/route.ts,"getAppSessionFromRequest,getRequestAuth",wishlist_create_plan_atomic,"pets,wishlist_items",True
/api/zones/[id]/restore,POST,app/api/zones/[id]/restore/route.ts,"getAppSessionFromRequest,getRequestAuth",,map_zones,False
/api/zones/[id],"DELETE,PATCH",app/api/zones/[id]/route.ts,"getAppSessionFromRequest,getRequestAuth",,map_zones,False
/api/zones,"GET,POST",app/api/zones/route.ts,"getAppSessionFromRequest,getRequestAuth",,"map_zones,pets",False
